Stock Name	Score	Type	Date
BW Offshore Limited	0,005001524226368348	Positive	2019-06-02
BW Offshore Limited	0,007021157900153119	Positive	2019-06-01
BW Offshore Limited	0,006025928739253228	Positive	2019-05-31
BW Offshore Limited	0,004493496796899921	Positive	2019-05-30
BW Offshore Limited	0,004368010317799209	Positive	2019-05-29
BW Offshore Limited	0,0036414172754124507	Positive	2019-05-28
BW Offshore Limited	0,0033422758538144137	Positive	2019-05-27
Questerre Energy	0,006075390980353479	Negative	2019-05-27
Sbanken	0,0004888033448531282	Negative	2019-06-02
Sbanken	0,0004343735154812567	Negative	2019-06-01
Sbanken	0,0005327974849125283	Negative	2019-05-31
Sbanken	0,0006132875514375247	Negative	2019-05-30
Sbanken	0,0007802563020934405	Negative	2019-05-29
Sbanken	0,0008867515506010282	Negative	2019-05-28
Sbanken	0,0010423589415496926	Negative	2019-05-27
North Energy	0,0029858939952122077	Negative	2019-05-27
Philly Shipyard	0,006572227515475815	Negative	2019-05-31
Philly Shipyard	0,007433524313788409	Negative	2019-05-30
Philly Shipyard	0,005170319174066851	Negative	2019-05-29
Philly Shipyard	0,0036774788232664113	Negative	2019-05-28
Philly Shipyard	0,0016218782821831867	Negative	2019-05-27
S,D, Standard Drilling	0,003985731965631345	Positive	2019-05-29
S,D, Standard Drilling	0,003484697877656706	Positive	2019-05-28
S,D, Standard Drilling	0,0032825261298458086	Positive	2019-05-27
Ambu	0,002454610109567157	Negative	2019-05-27
AGF B	0,001925473793896737	Negative	2019-05-28
AGF B	0,0018919064700745336	Negative	2019-05-27
BankNordik	0,00011262275880707939	Negative	2019-06-01
BankNordik	0,0006083400144779594	Negative	2019-05-31
BankNordik	0,0006313781548100694	Negative	2019-05-30
BankNordik	0,001060621836681097	Negative	2019-05-29
BankNordik	0,0010171348139437209	Negative	2019-05-28
BankNordik	0,00045267585283870204	Negative	2019-05-27
cBrain	0,00831928351418243	Positive	2019-05-28
cBrain	0,008170191150031592	Positive	2019-05-27
