Stock Name,Score,Type,Date
Slottsviken A,0.005804814077978504,Negative,2019-05-31
Slottsviken A,0.005873506487746649,Negative,2019-05-30
Slottsviken A,0.005943528611066506,Negative,2019-05-29
Slottsviken A,0.00601491729124537,Negative,2019-05-28
Slottsviken A,0.006087710721327078,Negative,2019-05-27
Slottsviken A,0.0061619485061125134,Negative,2019-05-26
Victoria Park B,0.0006948947147997764,Positive,2019-06-02
Victoria Park B,0.000694419542472513,Positive,2019-06-01
Victoria Park B,0.0008152898339194303,Positive,2019-05-31
Victoria Park B,0.000841825569393384,Positive,2019-05-30
Victoria Park B,0.0009020032214885898,Positive,2019-05-29
Victoria Park B,0.0007198137126973592,Positive,2019-05-28
Victoria Park B,0.0008873532054705091,Positive,2019-05-27
Victoria Park B,0.0006719293996109155,Positive,2019-05-26
Victoria Park B,0.00042365753970075026,Positive,2019-05-25
Salmones Camanchaca,0.0027223539207540393,Negative,2019-05-25
I-Tech,0.008444647398945238,Negative,2019-05-29
I-Tech,0.006939153442152679,Negative,2019-05-28
I-Tech,0.00839121693577738,Negative,2019-05-27
I-Tech,0.008185934970804998,Negative,2019-05-26
I-Tech,0.007649772084459938,Negative,2019-05-25
Calliditas Therapeutics,0.003195404642393207,Positive,2019-06-02
Calliditas Therapeutics,0.0034720695939429724,Positive,2019-06-01
Calliditas Therapeutics,0.003545860613712648,Positive,2019-05-31
Calliditas Therapeutics,0.0035167273567892066,Positive,2019-05-30
Calliditas Therapeutics,0.0036203385892957796,Positive,2019-05-29
Calliditas Therapeutics,0.0032559850317392947,Positive,2019-05-28
Calliditas Therapeutics,0.003525918357279667,Positive,2019-05-27
Calliditas Therapeutics,0.003133974105543502,Positive,2019-05-26
Calliditas Therapeutics,0.0032902754062137385,Positive,2019-05-25
VMP,0.004256428084322028,Positive,2019-06-02
VMP,0.004339622767947193,Positive,2019-06-01
VMP,0.0036328826621644383,Positive,2019-05-31
VMP,0.0033660544272160475,Positive,2019-05-30
VMP,0.004002864554857322,Positive,2019-05-29
VMP,0.00399755775541788,Positive,2019-05-28
VMP,0.003891445932728832,Positive,2019-05-27
VMP,0.0038830390631134915,Positive,2019-05-26
VMP,0.003559852997937818,Positive,2019-05-25
